____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.9 ran at Wed Apr 22 15:50:20 2020

Kernel Version;Linux version 5.3.0-18-generic
System Name;LENOVOLNVNB161216Legion Y540-15IRH
CPU Information;12 Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
OS Information;Ubuntu 19.10

Target: 1 units/s;System:  3616.3 wakeup/s;CPU:  25.0% usage;GPU: 0 ops/s;GFX: 63.7 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description
  1.8%;2312.5;Timer;hrtimer_wakeup
  1.6%;449.5;Process;[PID 3325] /usr/bin/tilix --gapplication-service 
  0.2%;299.8;Timer;tick_sched_timer
  0.3%;144.3;kWork;hci_rx_work
  0.0%; 65.0;Interrupt;[0] HI_SOFTIRQ
  0.5%; 51.9;Process;[PID 2689] budgie-wm 
  0.1%; 48.5;Process;[PID 2686] [krfcommd]
 10.7%;  5.0;kWork;nv50_disp_atomic_commit_work
  0.2%; 37.2;Interrupt;[132] nvkm
  4.9%;  5.3;kWork;intel_atomic_commit_work

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
C2 (pc2); 25.6%
C3 (pc3); 40.8%
C6 (pc6);  0.0%
C7 (pc7);  0.0%
C8 (pc8);  0.0%
C9 (pc9);  0.0%
C10 (pc10);  0.0%
;
;
;

;Core 0
C3 (cc3);  0.1%
C6 (cc6);  2.0%
C7 (cc7); 91.5%
;Core 1
C3 (cc3);  0.3%
C6 (cc6);  7.3%
C7 (cc7); 82.3%
;Core 2
C3 (cc3);  0.2%
C6 (cc6);  3.3%
C7 (cc7); 88.2%
;Core 3
C3 (cc3);  0.1%
C6 (cc6);  1.7%
C7 (cc7); 89.5%
;Core 4
C3 (cc3);  0.3%
C6 (cc6);  6.4%
C7 (cc7); 86.3%
;Core 5
C3 (cc3);  0.4%
C6 (cc6);  4.1%
C7 (cc7); 87.1%
;GPU 1919894304
Powered On; 13.7%
RC6; 86.3%
RC6p;  0.0%
RC6pp;  0.0%

CPU;0;CPU;6
C0 active;  2.5%;  0.9%;
POLL;  0.4%;   0.0 ms;  0.0%;   0.0 ms
C1E;  0.0%;   0.1 ms;  0.0%;   0.0 ms
;
C3;  0.2%;   0.2 ms;  0.1%;   0.1 ms
C6;  1.4%;   0.6 ms;  1.2%;   0.6 ms
C7s;  0.0%;   1.1 ms;  0.0%;   0.0 ms
C8; 15.1%;   2.1 ms; 11.4%;   2.0 ms
C9;  1.0%;   3.6 ms;  0.2%;   3.0 ms
C10; 78.3%;   7.7 ms; 85.1%;   8.3 ms
CPU;1;CPU;7
C0 active;  3.0%;  0.9%;
POLL;  0.3%;   0.0 ms;  0.0%;   0.0 ms
C1E;  0.1%;   0.1 ms;  0.0%;   0.3 ms
;
C3;  0.4%;   0.1 ms;  0.0%;   0.1 ms
C6;  7.9%;   0.6 ms;  0.8%;   0.5 ms
C7s;  0.0%;   0.3 ms;  0.0%;   0.0 ms
C8; 33.2%;   1.3 ms;  7.3%;   1.8 ms
C9;  0.6%;   1.5 ms;  0.6%;   3.7 ms
C10; 52.0%;   5.7 ms; 89.0%;   8.0 ms
CPU;2;CPU;8
C0 active;  2.2%;  1.6%;
POLL;  0.1%;   0.0 ms;  0.2%;   0.0 ms
C1E;  0.0%;   0.2 ms;  0.0%;   0.2 ms
;
C3;  0.2%;   0.2 ms;  0.1%;   0.1 ms
C6;  2.4%;   0.6 ms;  1.6%;   0.6 ms
C7s;  0.0%;   0.7 ms;  0.1%;   1.9 ms
C8; 14.6%;   1.7 ms; 23.1%;   2.2 ms
C9;  0.1%;   2.5 ms;  4.5%;   5.2 ms
C10; 78.5%;   7.4 ms; 67.6%;   5.6 ms
CPU;3;CPU;9
C0 active;  1.1%;  4.1%;
POLL;  0.1%;   0.0 ms;  0.8%;   0.0 ms
C1E;  0.0%;   0.3 ms;  0.0%;   0.2 ms
;
C3;  0.1%;   0.1 ms;  0.1%;   0.3 ms
C6;  1.1%;   0.6 ms;  0.9%;   0.6 ms
C7s;  0.0%;   1.2 ms;  0.1%;   1.4 ms
C8; 10.7%;   2.0 ms;  9.5%;   2.0 ms
C9;  0.0%;   1.7 ms;  4.4%;   8.2 ms
C10; 85.4%;   8.5 ms; 79.3%;   7.6 ms
CPU;4;CPU;10
C0 active;  1.8%;  0.9%;
POLL;  0.2%;   0.0 ms;  0.0%;   0.0 ms
C1E;  0.0%;   0.1 ms;  0.0%;   0.1 ms
;
C3;  0.1%;   0.1 ms;  0.3%;   0.2 ms
C6;  1.7%;   0.7 ms;  6.5%;   0.7 ms
C7s;  0.1%;   1.2 ms;  0.1%;   1.3 ms
C8; 14.1%;   1.9 ms; 20.9%;   1.6 ms
C9;  0.5%;   2.9 ms;  0.5%;   2.9 ms
C10; 80.0%;   8.3 ms; 69.3%;   7.7 ms
CPU;5;CPU;11
C0 active;  2.2%;  2.1%;
POLL;  0.2%;   0.0 ms;  0.2%;   0.0 ms
C1E;  0.0%;   0.1 ms;  0.0%;   0.1 ms
;
C3;  0.2%;   0.3 ms;  0.3%;   0.3 ms
C6;  2.4%;   0.6 ms;  2.7%;   0.6 ms
C7s;  0.1%;   1.5 ms;  0.1%;   1.0 ms
C8; 14.5%;   1.8 ms; 15.0%;   1.7 ms
C9;  0.2%;   2.8 ms;  0.2%;   1.7 ms
C10; 78.9%;   7.4 ms; 77.8%;   7.0 ms
;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle;
;
;
;

;Core 0
Idle;
;Core 1
Idle;
;Core 2
Idle;
;Core 3
Idle;
;Core 4
Idle;
;Core 5
Idle;
;
;
;

CPU 0;CPU 6
Average;1.7 GHz;  1124 MHz
Idle;
CPU 1;CPU 7
Average;  1342 MHz;  1045 MHz
Idle;
CPU 2;CPU 8
Average;  1482 MHz;  1325 MHz
Idle;
CPU 3;CPU 9
Average;  1096 MHz;1.9 GHz
Idle;
CPU 4;CPU 10
Average;  1268 MHz;  1077 MHz
Idle;
CPU 5;CPU 11
Average;1.5 GHz;  1440 MHz
Idle;
;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description
 18.4 ms/s;2312.5;;;;Timer;hrtimer_wakeup
 15.6 ms/s;449.5;;; 17.9;Process;[PID 3325] /usr/bin/tilix --gapplication-service 
  2.0 ms/s;299.8;;;;Timer;tick_sched_timer
  2.9 ms/s;144.3;;;;kWork;hci_rx_work
134.0 us/s; 65.0;;;;Interrupt;[0] HI_SOFTIRQ
  5.0 ms/s; 51.9;;; 26.2;Process;[PID 2689] budgie-wm 
617.8 us/s; 48.5;;;  0.1;Process;[PID 2686] [krfcommd]
107.2 ms/s;  5.0;;;;kWork;nv50_disp_atomic_commit_work
  2.2 ms/s; 37.2;;;;Interrupt;[132] nvkm
 48.5 ms/s;  5.3;;;;kWork;intel_atomic_commit_work
  1.1 ms/s; 18.2;;;;Interrupt;[131] i915
  9.7 ms/s; 14.4;;;;Process;[PID 2103] /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch 
352.3 us/s; 17.4;;;;Process;[PID 1951] /usr/sbin/zed -F 
 45.0 us/s; 16.6;;;;Timer;intel_uncore_fw_release_timer
  3.0 ms/s; 13.2;;;  6.9;Process;[PID 4068] [kworker/u24:0]
  4.9 ms/s; 13.6;;;;Process;[PID 4923] python3
 17.3 us/s; 14.7;;;;kWork;intel_atomic_helper_free_state_
  1.0 ms/s; 12.2;;;;kWork;gen6_pm_rps_work
  1.2 ms/s;  9.0;;;;Interrupt;[1] timer(softirq)
  4.7 ms/s;  5.9;;;;Interrupt;[7] sched(softirq)
 77.0 us/s;  6.6;;;;kWork;psi_avgs_work
 49.4 us/s;  6.3;;;;Process;[PID 11] [rcu_sched]
105.1 us/s;  5.4;;;;kWork;intel_atomic_cleanup_work
 80.5 us/s;  5.4;;;;kWork;blk_mq_run_work_fn
617.9 us/s;  4.3;;;;Process;[PID 4893] powertop --workload=python3 client.py --csv=powerOut.csv 
  0.8 ms/s;  1.1;;; 11.3;Process;[PID 329] [kworker/u24:5]
  8.3 ms/s;  0.9;;;;Interrupt;[125] xhci_hcd
 86.7 us/s;  4.1;;;;Process;[PID 403] [usb-storage]
 96.2 us/s;  3.6;;;;kWork;hci_tx_work
434.2 us/s;  2.8;;;  0.8;Process;[PID 2697] budgie-panel 
335.2 us/s;  2.2;;;  0.1;Process;[PID 2742] plank 
  1.0 ms/s;  1.9;;;;Timer;process_timeout
  0.7 ms/s;  1.5;;;  0.4;Process;[PID 3950] nemo 
 13.1 us/s;  1.6;;;;Timer;watchdog_timer_fn
167.9 us/s;  1.1;;;;Process;[PID 1955] /usr/lib/bluetooth/bluetoothd 
140.1 us/s;  1.0;;;  0.1;Process;[PID 2796] /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon 
  2.0 ms/s; 0.07;;;;Process;[PID 4923] sh
 86.8 us/s;  0.8;;;;kWork;handle_update
 31.0 us/s;  0.7;;;;kWork;flush_to_ldisc
195.7 us/s;  0.6;;;;Process;[PID 2718] /usr/lib/budgie-desktop/plugins/budgie-showtime/showtime_desktop 
  9.6 us/s;  0.7;;;;Process;[PID 1908] [dbuf_evict]
  1.4 ms/s; 0.07;;;;kWork;hub_event
  8.2 us/s;  0.6;;;;kWork;pci_pme_list_scan
  4.2 us/s;  0.6;;;;kWork;drm_mode_rmfb_work_fn
 23.9 us/s;  0.5;;;;Timer;blk_stat_timer_fn
  8.6 us/s;  0.5;;;;Process;[PID 2130] /usr/lib/snapd/snapd 
167.2 us/s;  0.4;;;;Process;[PID 1931] /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only 
297.1 us/s;  0.3;;;;kWork;i915_hangcheck_elapsed
 70.7 us/s;  0.4;;;;Process;[PID 4899] pool-nemo
312.6 us/s; 0.27;;;;Process;[PID 4925] systemd-udevd
587.9 us/s; 0.13;;;;Interrupt;[9] RCU(softirq)
 30.9 us/s;  0.3;;;;kWork;retire_work_handler
  8.4 us/s;  0.3;;;;Interrupt;[3] net_rx(softirq)
232.4 us/s; 0.20;;;;kWork;delayed_fput
