  9.2 ;  4.6;;;;Process;[PID 7937] python3; 18.6   
  6.1 ;  3.2;;;;Process;[PID 8121] python3; 12.7   
  9.1 ;  4.8;;;;Process;[PID 8306] python3; 18.9   
  6.1 ;  3.1;;;;Process;[PID 8495] python3; 12.4   
  6.2 ;  2.9;;;;Process;[PID 8682] python3; 11.8   
  5.2 ;  2.7;;;;Process;[PID 8868] python3; 10.6   
  7.2 ;  3.1;;;;Process;[PID 9061] python3; 13.2   
  6.1 ;  3.0;;;;Process;[PID 9248] python3; 12.1   
  6.7 ;  3.2;;;;Process;[PID 9435] python3; 13.0   
  7.8 ;  4.3;;;;Process;[PID 9621] python3; 16.5   
