 13.3 ;  4.5;;;;Process;[PID 6028] python3; 22.5   
  9.1 ;  2.9;;;;Process;[PID 6219] python3; 15.0   
 13.4 ;  4.4;;;;Process;[PID 6402] python3; 22.1   
  9.1 ;  3.2;;;;Process;[PID 6586] python3; 15.4   
  7.7 ;  2.7;;;;Process;[PID 6766] python3; 12.9   
  9.7 ;  3.1;;;;Process;[PID 6958] python3; 15.6   
  9.0 ;  2.9;;;;Process;[PID 7147] python3; 14.5   
  8.9 ;  3.2;;;;Process;[PID 7335] python3; 15.1   
  7.9 ;  6.9;;;;Process;[PID 7517] python3; 23.1   
  9.0 ;  3.1;;;;Process;[PID 7701] python3; 15.0   
