  6.3 ;  1.3;;;;Process;[PID 4146] python3; 18.6   
  6.6 ;  1.6;;;;Process;[PID 4225] python3; 22.3   
  7.5 ;  1.6;;;;Process;[PID 4301] python3; 21.9   
  7.2 ;  1.5;;;;Process;[PID 4375] python3; 20.1   
  7.4 ;  1.7;;;;Process;[PID 4449] python3; 23.6   
  6.2 ;  1.5;;;;Process;[PID 4530] python3; 20.0   
  7.1 ;  1.5;;;;Process;[PID 4608] python3; 20.5   
  5.6 ;  1.5;;;;Process;[PID 4687] python3; 20.5   
  6.7 ;  1.1;;;;Process;[PID 4761] python3; 15.0   
  6.4 ;  1.7;;;;Process;[PID 4846] python3; 22.8   
